time,mass_initial,mass_remaining,mass_lost,mass_diff,error_percent,tolerance_percent,mass_loss_rp_mars,mass_loss_hydro_drag,mass_loss_surface_solid_marsRP
12623.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25246.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37869.12,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
50492.16,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
63115.200000000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
75738.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
88361.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
100984.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
113607.36000000002,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
126230.40000000002,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
138853.44,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
151476.48,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
164099.52000000002,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
176722.56000000003,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
189345.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
201968.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
214591.68000000002,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
227214.72000000003,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
239837.76000000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
252460.80000000002,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
265083.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
277706.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
290329.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
302952.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
315576.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
328199.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
340822.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
353445.12,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
