orbit_index,time_s,time_s_end,t_orb_s,M_out_orbit,M_sink_orbit,M_loss_orbit,M_out_per_orbit,M_sink_per_orbit,M_loss_per_orbit,mass_loss_frac_per_orbit,M_out_cum,M_sink_cum,M_loss_cum,r_RM,T_M,slope_dlnM_dlnr
1,29997.718631178705,22975.24688545448,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3999.0328013611643,
2,49996.19771863117,45950.49377090896,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3998.0665315269557,
3,69994.67680608365,68925.74065636344,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3997.1011990499455,
4,99992.39543726234,91900.98754181791,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3995.6549405309547,
5,119990.87452471482,114876.2344272724,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3994.6919360317606,
6,139989.3536121673,137851.4813127269,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3993.7298533028484,
7,169987.072243346,160826.72819818134,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3992.2884709097907,
8,189985.55133079845,183801.97508363583,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3991.3286992897342,
9,209984.0304182509,206777.2219690903,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3990.3698572054554,
10,229982.5095057034,229752.4688545448,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3989.411929932974,
11,259980.2281368821,252727.71573999926,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3987.9767676438505,
12,279978.7072243346,275702.9626254538,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3987.021134111687,
13,299977.18631178705,298678.20951090823,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3986.0664230593,
14,329974.9049429658,321653.45639636274,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3984.636061858935,
15,349973.38403041824,344628.7032818172,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3983.683630927759,
16,369971.8631178707,367603.95016727166,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3982.732104361499,
17,399969.5817490494,390579.1970527262,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3981.306525773683,
18,419968.0608365019,413554.44393818063,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3980.3572693393035,
19,439966.53992395435,436529.6908236351,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3979.4089213009174,
20,459965.0190114068,459504.9377090896,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3978.461470911873,
21,489962.73764258553,482480.18459454406,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3977.0419937045654,
22,509961.216730038,505455.4314799986,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3976.0967964713836,
23,529959.6958174905,528430.678365453,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3975.1525007944147,
24,559957.4144486691,551405.9252509074,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3973.7377336128775,
25,579955.8935361216,574381.172136362,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3972.795674743385,
26,599954.3726235741,597356.4190218165,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3971.8545064321634,
27,629952.0912547527,620331.6659072709,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3970.444427757774,
28,649950.5703422052,643306.9127927254,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3969.5054865467787,
29,669949.0494296578,666282.1596781799,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3968.5674332006674,
30,689947.5285171102,689257.4065636343,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3967.630263853804,
31,719945.2471482889,712232.6534490888,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3966.226171124293,
32,739943.7262357414,735207.9003345433,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3965.291212358743,
33,759942.2053231938,758183.1472199977,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3964.3571348264873,
34,789939.9239543725,781158.3941054522,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3962.957666563408,
35,809938.4030418249,804133.6409909066,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3962.025783690816,
36,829936.8821292775,827108.8878763611,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3961.094777904799,
37,859934.6007604562,850084.1347618157,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3959.6999066101243,
38,879933.0798479086,873059.38164727,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3958.771086048548,
39,899931.5589353611,896034.6285327247,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3957.843133407497,
40,919930.0380228136,919009.8754181792,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3956.91605144557,
41,949927.7566539922,941985.1223036335,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3955.527053755008,
42,969926.2357414447,964960.3691890881,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3954.602140939841,
43,989924.7148288973,987935.6160745426,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3953.678089614123,
44,1019922.4334600759,1010910.862959997,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3952.2936330827206,
45,1039920.9125475284,1033886.1098454515,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3951.371735394301,
46,1059919.391634981,1056861.356730906,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3950.4507016447833,
47,1079917.8707224333,1079836.6036163603,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3949.530523021163,
48,1109915.589353612,1102811.8505018149,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3948.1518637349814,
49,1129914.0684410646,1125787.0973872694,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3947.2338229918873,
50,1149912.547528517,1148762.344272724,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3946.3166399270317,
51,1179910.2661596956,1171737.5911581782,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3944.9424562340614,
52,1199908.7452471482,1194712.838043633,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3944.027401301455,
53,1219907.2243346006,1217688.0849290874,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3943.1131893534784,
54,1249904.9429657792,1240663.3318145417,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3941.7434650068785,
55,1269903.4220532319,1263638.5786999965,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3940.831367488139,
56,1289901.9011406843,1286613.8255854507,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3939.920119618935,
57,1309900.3802281367,1309589.0724709053,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3939.009708608463,
58,1339898.0988593155,1332564.3193563598,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3937.6456741487277,
59,1359896.577946768,1355539.5662418143,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3936.7373622721398,
60,1379895.0570342203,1378514.8131272686,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3935.82989383398,
61,1409892.7756653992,1401490.0600127233,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3934.470252309607,
62,1429891.2547528516,1424465.3068981776,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3933.5648703846455,
63,1449889.733840304,1447440.553783632,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3932.660316739139,
64,1479887.4524714828,1470415.8006690866,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3931.3050515886957,
65,1499885.9315589352,1493391.0475545411,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3930.4025757653026,
66,1519884.4106463876,1516366.2944399954,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3929.5009308636822,
67,1539882.8897338402,1539341.5413254502,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3928.60010832085,
68,1569880.6083650189,1562316.7882109045,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3927.250428471798,
69,1589879.0874524713,1585292.035096359,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3926.35166878858,
70,1609877.5665399237,1608267.2819818133,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3925.4537340001966,
71,1639875.2851711025,1631242.528867268,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3924.10836745684,
72,1659873.764258555,1654217.7757527223,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3923.212481005358,
73,1679872.2433460073,1677193.0226381768,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3922.3174107662426,
74,1709869.9619771861,1700168.2695236313,22975.24688545448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3920.976337536675,
