temperature_K,axis,wavelength_um,n,k
100,a,0.08,1.2095608,0.91175142
100,a,0.081,1.2364706,0.91336647
100,a,0.082,1.2601208,0.90907031
100,a,0.083,1.2834766,0.89965109
100,a,0.084,1.2949497,0.88385058
100,a,0.085,1.3048543,0.86784959
100,a,0.086,1.3090047,0.86078241
100,a,0.087,1.3066762,0.86175722
100,a,0.088,1.3055446,0.87152701
100,a,0.089,1.3056346,0.88902542
100,a,0.09,1.3102837,0.90709207
100,a,0.091,1.327033,0.92497452
100,a,0.092,1.3561295,0.93384338
100,a,0.093,1.3944608,0.94271223
100,a,0.094,1.4176017,0.9445526
100,a,0.095,1.4402352,0.94244914
100,a,0.096,1.4586792,0.94296743
100,a,0.097,1.4720787,0.94664269
100,a,0.098,1.4854781,0.95122441
100,a,0.099,1.5101997,0.95663668
100,a,0.1,1.5419271,0.95899347
100,a,0.101,1.573607,0.95495032
100,a,0.102,1.6052083,0.95073044
100,a,0.103,1.6368096,0.93898994
100,a,0.104,1.6628971,0.92724944
100,a,0.105,1.6878759,0.91123281
100,a,0.106,1.709432,0.88901365
100,a,0.107,1.7250719,0.8667945
100,a,0.108,1.7407117,0.84381768
100,a,0.109,1.7519841,0.81986741
100,a,0.11,1.754617,0.80555454
100,a,0.111,1.7572499,0.79613681
100,a,0.112,1.7598828,0.78671907
100,a,0.113,1.7624037,0.78028696
100,a,0.114,1.7648646,0.77808138
100,a,0.115,1.7673255,0.77587581
100,a,0.116,1.7697864,0.77367024
100,a,0.117,1.7808224,0.76994892
100,a,0.118,1.7953603,0.760064
100,a,0.119,1.8100243,0.75017908
100,a,0.12,1.8257848,0.73752559
100,a,0.121,1.8415453,0.72275878
100,a,0.122,1.8568538,0.70799197
100,a,0.123,1.8678838,0.6928755
100,a,0.124,1.8789139,0.67745301
100,a,0.125,1.8811403,0.66203053
100,a,0.126,1.8752648,0.64633309
100,a,0.127,1.8691569,0.63061596
100,a,0.128,1.8615979,0.63015527
100,a,0.129,1.8540388,0.63274089
100,a,0.13,1.8470044,0.63909728
100,a,0.131,1.8574495,0.64554189
100,a,0.132,1.8678945,0.64633154
100,a,0.133,1.8793687,0.63871255
100,a,0.134,1.8911676,0.62644809
100,a,0.135,1.8911837,0.61756746
100,a,0.136,1.887303,0.60980595
100,a,0.137,1.8821315,0.60640994
100,a,0.138,1.8743308,0.61190693
100,a,0.139,1.86653,0.62149898
100,a,0.14,1.8587293,0.6502715
100,a,0.141,1.8726683,0.68845928
100,a,0.142,1.8953059,0.71682508
100,a,0.143,1.9363466,0.73323769
100,a,0.144,1.9810926,0.73553549
100,a,0.145,2.0394406,0.73783329
100,a,0.146,2.1049337,0.72383577
100,a,0.147,2.1575272,0.66646649
100,a,0.148,2.1972678,0.59914068
100,a,0.149,2.2304074,0.52709024
100,a,0.15,2.2396888,0.40832334
100,a,0.151,2.2489702,0.26140798
100,a,0.152,2.2493389,0.15993038
100,a,0.153,2.240446,0.074176614
100,a,0.154,2.2315531,0.042088307
100,a,0.155,2.2114548,0.01
100,a,0.156,2.1893454,0.003
100,a,0.157,2.167236,0.001
100,a,0.158,2.1508029,0.0003
100,a,0.159,2.137486,0.0001
100,a,0.16,2.1241692,4e-05
100,a,0.161,2.1108523,2e-05
100,a,0.162,2.0975355,1.2e-05
100,a,0.163,2.0858958,9e-06
100,a,0.164,2.0775629,7e-06
100,a,0.165,2.06923,6e-06
100,a,0.166,2.0608971,5.5e-06
100,a,0.167,2.0525643,5.2e-06
100,a,0.168,2.0442314,4.900004e-06
100,a,0.169,2.03606,4.6781661e-06
100,a,0.17,2.0290707,4.5359187e-06
100,a,0.171,2.0220815,4.4007723e-06
100,a,0.172,2.0150923,4.2772632e-06
100,a,0.173,2.0081031,4.1643041e-06
100,a,0.174,2.0011138,4.0587474e-06
100,a,0.175,1.9941246,3.9498162e-06
100,a,0.176,1.9877673,3.8522418e-06
100,a,0.177,1.9823197,3.7595375e-06
100,a,0.178,1.9768721,3.6654336e-06
100,a,0.179,1.9714245,3.5760902e-06
100,a,0.18,1.9659769,3.4930212e-06
100,a,0.181,1.9605293,3.4262193e-06
100,a,0.182,1.9550817,3.3534931e-06
100,a,0.183,1.9496342,3.2883952e-06
100,a,0.184,1.9441866,3.2387843e-06
100,a,0.185,1.9391337,3.1769899e-06
100,a,0.186,1.9353913,3.126018e-06
100,a,0.187,1.9316489,3.1014485e-06
