group_name,temperature_K,axis,subgroup,datasets,size_grid_len,wavelength_grid_len
Mg2SiO4_1000K_averaged,1000,averaged,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1055K_B3U,1055,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1102K_B1U,1102,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1122K_B2U,1122,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1131K_B3U,1131,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1147K_B1U,1147,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1256K_B3U,1256,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1303K_B2U,1303,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1417K_B2U,1417,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1431K_B1U,1431,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1503K_B3U,1503,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1518K_B1U,1518,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1535K_B2U,1535,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1617K_B2U,1617,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1648K_B1U,1648,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1742K_B1U,1742,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1793K_B3U,1793,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1809K_B1U,1809,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1818K_B2U,1818,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_1948K_B3U,1948,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_295K_B1U,295,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_295K_B2U,295,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_295K_B3U,295,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_295K_averaged,295,averaged,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_546K_B1U,546,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_547K_B2U,547,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_602K_B3U,602,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_720K_B2U,720,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_757K_B3U,757,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_918K_B3U,918,B3U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_946K_B2U,946,B2U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
Mg2SiO4_950K_B1U,950,B1U,0.5,eff_abs;eff_back;eff_ext;eff_g;eff_scat;eff_w,1000,5011
