tau,w0,g,Phi
0.0,0.0,0.0,1.0
0.0,0.0,0.19,0.81
0.0,0.0,0.38,0.62
0.0,0.0,0.57,0.42999999999999994
0.0,0.0,0.76,0.24
0.0,0.0,0.95,0.050000000000000044
0.0,0.198,0.0,1.0
0.0,0.198,0.19,0.81
0.0,0.198,0.38,0.62
0.0,0.198,0.57,0.42999999999999994
0.0,0.198,0.76,0.24
0.0,0.198,0.95,0.050000000000000044
0.0,0.396,0.0,1.0
0.0,0.396,0.19,0.81
0.0,0.396,0.38,0.62
0.0,0.396,0.57,0.42999999999999994
0.0,0.396,0.76,0.24
0.0,0.396,0.95,0.050000000000000044
0.0,0.594,0.0,1.0
0.0,0.594,0.19,0.81
0.0,0.594,0.38,0.62
0.0,0.594,0.57,0.42999999999999994
0.0,0.594,0.76,0.24
0.0,0.594,0.95,0.050000000000000044
0.0,0.792,0.0,1.0
0.0,0.792,0.19,0.81
0.0,0.792,0.38,0.62
0.0,0.792,0.57,0.42999999999999994
0.0,0.792,0.76,0.24
0.0,0.792,0.95,0.050000000000000044
0.0,0.99,0.0,1.0
0.0,0.99,0.19,0.81
0.0,0.99,0.38,0.62
0.0,0.99,0.57,0.42999999999999994
0.0,0.99,0.76,0.24
0.0,0.99,0.95,0.050000000000000044
0.2,0.0,0.0,0.8187307530779818
0.2,0.0,0.19,0.6631719099931653
0.2,0.0,0.38,0.5076130669083487
0.2,0.0,0.57,0.35205422382353213
0.2,0.0,0.76,0.19649538073871564
0.2,0.0,0.95,0.040936537653899124
0.2,0.198,0.0,0.8518029996130393
0.2,0.198,0.19,0.6899604296865619
0.2,0.198,0.38,0.5281178597600844
0.2,0.198,0.57,0.36627528983360685
0.2,0.198,0.76,0.2044327199071294
0.2,0.198,0.95,0.042590149980652005
0.2,0.396,0.0,0.8862111841066548
0.2,0.396,0.19,0.7178310591263904
0.2,0.396,0.38,0.549450934146126
0.2,0.396,0.57,0.3810708091658615
0.2,0.396,0.76,0.21269068418559714
0.2,0.396,0.95,0.04431055920533278
0.2,0.594,0.0,0.9220092711489635
0.2,0.594,0.19,0.7468275096306605
0.2,0.594,0.38,0.5716457481123574
0.2,0.594,0.57,0.39646398659405424
0.2,0.594,0.76,0.22128222507575124
0.2,0.594,0.95,0.046100463557448214
0.2,0.792,0.0,0.959253405204525
0.2,0.792,0.19,0.7769952582156653
0.2,0.792,0.38,0.5947371112268055
0.2,0.792,0.57,0.41247896423794567
0.2,0.792,0.76,0.23022081724908597
0.2,0.792,0.95,0.04796267026022629
0.2,0.99,0.0,0.9980019986673331
0.2,0.99,0.19,0.8083816189205398
0.2,0.99,0.38,0.6187612391737465
0.2,0.99,0.57,0.4291408594269532
0.2,0.99,0.76,0.23952047968015994
0.2,0.99,0.95,0.0499000999333667
0.4,0.0,0.0,0.6703200460356393
0.4,0.0,0.19,0.5429592372888679
0.4,0.0,0.38,0.4155984285420964
0.4,0.0,0.57,0.28823761979532486
0.4,0.0,0.76,0.16087681104855342
0.4,0.0,0.95,0.033516002301782
0.4,0.198,0.0,0.7255683501497715
0.4,0.198,0.19,0.5877103636213149
0.4,0.198,0.38,0.4498523770928583
0.4,0.198,0.57,0.3119943905644017
0.4,0.198,0.76,0.17413640403594516
0.4,0.198,0.95,0.03627841750748861
0.4,0.396,0.0,0.7853702628357192
0.4,0.396,0.19,0.6361499128969326
0.4,0.396,0.38,0.4869295629581459
0.4,0.396,0.57,0.3377092130193592
0.4,0.396,0.76,0.1884888630805726
0.4,0.396,0.95,0.039268513141786
0.4,0.594,0.0,0.8501010960846428
0.4,0.594,0.19,0.6885818878285607
0.4,0.594,0.38,0.5270626795724785
0.4,0.594,0.57,0.36554347131639636
