T_M,s,Q_pr
2000.0,1e-07,0.06339199226813368
2000.0,2.511886431509582e-07,0.36831679800897416
2000.0,6.30957344480193e-07,0.8111805408735915
2000.0,1.584893192461114e-06,0.973079565894835
2000.0,3.981071705534969e-06,0.9978710698007662
2000.0,9.999999999999999e-06,0.9999268767245295
2000.0,2.5118864315095822e-05,0.9999981341485666
2000.0,6.309573444801943e-05,0.9999999531072106
2000.0,0.00015848931924611142,0.9999999988220817
2000.0,0.0003981071705534973,0.9999999999704119
2000.0,0.001,0.9999999999992569
2000.0,0.002511886431509582,0.9999999999999815
2000.0,0.006309573444801942,0.9999999999999996
2000.0,0.01584893192461114,1.0
2000.0,0.039810717055349776,1.0
2000.0,0.1,1.0
2300.0,1e-07,0.08449667260328228
2300.0,2.511886431509582e-07,0.44235292339167465
2300.0,6.30957344480193e-07,0.8533585502190585
2300.0,1.584893192461114e-06,0.9806993022376105
2300.0,3.981071705534969e-06,0.9985282209008971
2300.0,9.999999999999999e-06,0.9999498117964176
2300.0,2.5118864315095822e-05,0.9999987197940369
2300.0,6.309573444801943e-05,0.9999999678260695
2300.0,0.00015848931924611142,0.999999999191811
2300.0,0.0003981071705534973,0.9999999999796991
2300.0,0.001,0.9999999999994901
2300.0,0.002511886431509582,0.9999999999999873
2300.0,0.006309573444801942,0.9999999999999997
2300.0,0.01584893192461114,1.0
2300.0,0.039810717055349776,1.0
2300.0,0.1,1.0
2600.0,1e-07,0.10801327795217444
2600.0,2.511886431509582e-07,0.5077257840321242
2600.0,6.30957344480193e-07,0.8838102727801501
2600.0,1.584893192461114e-06,0.9856590340198105
2600.0,3.981071705534969e-06,0.9989377058575789
2600.0,9.999999999999999e-06,0.9999639835292679
2600.0,2.5118864315095822e-05,0.9999990815301864
2600.0,6.309573444801943e-05,0.9999999769173655
2600.0,0.00015848931924611142,0.9999999994201788
2600.0,0.0003981071705534973,0.9999999999854354
2600.0,0.001,0.9999999999996342
2600.0,0.002511886431509582,0.9999999999999908
2600.0,0.006309573444801942,0.9999999999999999
2600.0,0.01584893192461114,1.0
2600.0,0.039810717055349776,1.0
2600.0,0.1,1.0
2900.0,1e-07,0.1326601074679147
2900.0,2.511886431509582e-07,0.5640328931091657
2900.0,6.30957344480193e-07,0.9061500476410187
2900.0,1.584893192461114e-06,0.9890126330017094
2900.0,3.981071705534969e-06,0.9992052172206438
2900.0,9.999999999999999e-06,0.9999731802708339
2900.0,2.5118864315095822e-05,0.9999993162076256
2900.0,6.309573444801943e-05,0.9999999828153127
2900.0,0.00015848931924611142,0.9999999995683316
2900.0,0.0003981071705534973,0.9999999999891569
2900.0,0.001,0.9999999999997277
