r_over_Rmars,t_to_Tglass_yr,t_to_Tliquidus_yr
1.000000,0.000000,0.000000
1.004682,0.000000,0.000000
1.009365,0.000000,0.000000
1.014047,0.000000,0.000000
1.018729,0.000000,0.000000
1.023411,0.000000,0.000000
1.028094,0.000000,0.000000
1.032776,0.000000,0.000000
1.037458,0.000000,0.000000
1.042140,0.000000,0.000000
1.046823,0.000000,0.000000
1.051505,0.000000,0.000000
1.056187,0.000000,0.000000
1.060870,0.000000,0.000000
1.065552,0.000000,0.000000
1.070234,0.000000,0.000000
1.074916,0.000000,0.000000
1.079599,0.000000,0.000000
1.084281,0.000000,0.000000
1.088963,0.000000,0.000000
1.093645,0.000000,0.000000
1.098328,0.000000,0.000000
1.103010,0.000000,0.000000
1.107692,0.000000,0.000000
1.112375,0.000000,0.000000
1.117057,0.000000,0.000000
1.121739,0.000000,0.000000
1.126421,0.000000,0.000000
1.131104,0.000000,0.000000
1.135786,0.000000,0.000000
1.140468,0.000000,0.000000
1.145151,0.000000,0.000000
1.149833,0.000000,0.000000
1.154515,0.000000,0.000000
1.159197,0.000000,0.000000
1.163880,0.000000,0.000000
1.168562,0.000000,0.000000
1.173244,0.000000,0.000000
1.177926,0.000000,0.000000
1.182609,0.000000,0.000000
1.187291,0.000000,0.000000
1.191973,0.000000,0.000000
1.196656,0.000000,0.000000
1.201338,0.000000,0.000000
1.206020,0.000000,0.000000
1.210702,0.000000,0.000000
1.215385,0.000000,0.000000
1.220067,0.000000,0.000000
1.224749,0.000000,0.000000
1.229431,0.000000,0.000000
1.234114,0.000000,0.000000
1.238796,0.000000,0.000000
1.243478,0.000000,0.000000
1.248161,0.000000,0.000000
1.252843,0.000000,0.000000
1.257525,0.000000,0.000000
1.262207,0.000000,0.000000
1.266890,0.000000,0.000000
1.271572,0.000000,0.000000
1.276254,0.000000,0.000000
1.280936,0.000000,0.000000
1.285619,0.000000,0.000000
1.290301,0.000000,0.000000
1.294983,0.000000,0.000000
1.299666,0.000000,0.000000
1.304348,0.000000,0.000000
1.309030,0.000000,0.000000
