time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.581769129116104e-07,4.1823087088389597e-08,5.293955920339377e-15
19723.5,1e-06,9.55216702220853e-07,4.4783297779146966e-08,5.293955920339377e-15
29585.25,1e-06,9.550050288654383e-07,4.49949711345616e-08,2.6469779601696886e-15
39447.0,1e-06,9.549897403877664e-07,4.5010259612233486e-08,6.6174449004242214e-15
49308.75,1e-06,9.5498849394872e-07,4.501150605128004e-08,1.3234889800848443e-15
59170.5,1e-06,9.549882516047811e-07,4.5011748395218935e-08,9.26442286059391e-15
69032.25,1e-06,9.54988081060298e-07,4.501191893970205e-08,7.279189390466644e-15
78894.0,1e-06,9.549879156499532e-07,4.50120843500468e-08,6.6174449004242214e-15
88755.75,1e-06,9.549877506067335e-07,4.501224939326653e-08,7.940933880509066e-15
98617.5,1e-06,9.549875855897657e-07,4.501241441023436e-08,7.940933880509066e-15
108479.25,1e-06,9.549874205746749e-07,4.501257942532502e-08,7.279189390466644e-15
118341.0,1e-06,9.549872555597185e-07,4.501274444028144e-08,6.617444900424221e-16
128202.75,1e-06,9.549870905447717e-07,4.501290945522827e-08,2.6469779601696886e-15
138064.5,1e-06,9.549869255298255e-07,4.50130744701744e-08,1.9852334701272664e-15
147926.25,1e-06,9.549867605148796e-07,4.501323948512049e-08,1.0587911840678754e-14
157788.0,1e-06,9.549865954999334e-07,4.501340450006658e-08,1.3234889800848443e-15
167649.75,1e-06,9.549864304849872e-07,4.501356951501266e-08,7.940933880509066e-15
177511.5,1e-06,9.549862654700412e-07,4.5013734529958746e-08,3.970466940254533e-15
187373.25,1e-06,9.54986100455095e-07,4.501389954490483e-08,5.293955920339377e-15
197235.0,1e-06,9.54985935440149e-07,4.5014064559850916e-08,6.6174449004242214e-15
207096.75,1e-06,9.54985770425203e-07,4.5014229574797e-08,2.6469779601696886e-15
216958.5,1e-06,9.54985605410257e-07,4.5014394589743085e-08,9.26442286059391e-15
226820.25,1e-06,9.549854403953108e-07,4.501455960468917e-08,0.0
236682.0,1e-06,9.549852753803646e-07,4.5014724619635254e-08,9.26442286059391e-15
246543.75,1e-06,9.549851103654186e-07,4.501488963458134e-08,2.6469779601696886e-15
256405.5,1e-06,9.549849453504725e-07,4.501505464952742e-08,6.6174449004242214e-15
266267.25,1e-06,9.549847803355265e-07,4.501521966447351e-08,5.293955920339377e-15
276129.0,1e-06,9.549846153205803e-07,4.501538467941959e-08,3.970466940254533e-15
285990.75,1e-06,9.549844503056344e-07,4.501554969436568e-08,7.940933880509066e-15
295852.5,1e-06,9.549842852906882e-07,4.501571470931176e-08,1.3234889800848443e-15
305714.25,1e-06,9.54984120275742e-07,4.5015879724257846e-08,1.0587911840678754e-14
315576.0,1e-06,9.54983955260796e-07,4.501604473920393e-08,1.3234889800848443e-15
