time,mass_initial,mass_remaining,mass_lost,error_percent
63115.2,1e-05,9.487929179777285e-06,5.120708202227164e-07,7.411538288475128e-15
126230.4,1e-05,9.460856322426267e-06,5.391436775737335e-07,4.235164736271501e-15
189345.59999999998,1e-05,9.459376534024734e-06,5.406234659752662e-07,2.1175823681357505e-15
252460.8,1e-05,9.459295504657794e-06,5.407044953422075e-07,6.3527471044072525e-15
315576.0,1e-05,9.459291067175601e-06,5.407089328244005e-07,7.411538288475128e-15
378691.19999999995,1e-05,9.459290824087772e-06,5.407091759122288e-07,0.0
441806.39999999997,1e-05,9.459290810710432e-06,5.407091892895695e-07,3.1763735522036263e-15
504921.6,1e-05,9.459290809922025e-06,5.407091900779756e-07,0.0
568036.7999999999,1e-05,9.459290809830005e-06,5.407091901699962e-07,6.3527471044072525e-15
631152.0,1e-05,9.459290809781548e-06,5.407091902184533e-07,7.411538288475128e-15
694267.2,1e-05,9.459290809739818e-06,5.407091902601831e-07,5.293955920339376e-15
757382.3999999999,1e-05,9.459290809702008e-06,5.407091902979921e-07,3.1763735522036263e-15
820497.6,1e-05,9.459290809667375e-06,5.40709190332626e-07,1.0587911840678752e-15
883612.7999999999,1e-05,9.45929080963542e-06,5.407091903645811e-07,1.0587911840678752e-15
946728.0,1e-05,9.459290809605758e-06,5.407091903942425e-07,1.0587911840678752e-15
1009843.2,1e-05,9.459290809578082e-06,5.407091904219176e-07,7.411538288475128e-15
1072958.4,1e-05,9.459290809552145e-06,5.407091904478558e-07,4.235164736271501e-15
1136073.5999999999,1e-05,9.459290809527738e-06,5.407091904722622e-07,4.235164736271501e-15
1199188.8,1e-05,9.459290809504694e-06,5.407091904953077e-07,6.3527471044072525e-15
1262304.0,1e-05,9.459290809482864e-06,5.40709190517136e-07,7.411538288475128e-15
1325419.2,1e-05,9.459290809462132e-06,5.407091905378695e-07,7.411538288475128e-15
1388534.4,1e-05,9.459290809442388e-06,5.407091905576125e-07,5.293955920339376e-15
1451649.5999999999,1e-05,9.459290809423545e-06,5.407091905764555e-07,6.3527471044072525e-15
1514764.7999999998,1e-05,9.459290809405523e-06,5.40709190594477e-07,6.3527471044072525e-15
1577880.0,1e-05,9.459290809388256e-06,5.407091906117456e-07,3.1763735522036263e-15
1640995.2,1e-05,9.459290809371679e-06,5.407091906283217e-07,0.0
1704110.4,1e-05,9.459290809355741e-06,5.407091906442587e-07,7.411538288475128e-15
1767225.5999999999,1e-05,9.459290809340397e-06,5.407091906596041e-07,2.1175823681357505e-15
1830340.7999999998,1e-05,9.4592908093256e-06,5.407091906744002e-07,1.0587911840678752e-15
1893456.0,1e-05,9.459290809311316e-06,5.40709190688685e-07,3.1763735522036263e-15
1956571.2,1e-05,9.459290809297508e-06,5.407091907024925e-07,4.235164736271501e-15
2019686.4,1e-05,9.459290809284147e-06,5.407091907158539e-07,2.1175823681357505e-15
2082801.5999999999,1e-05,9.459290809271204e-06,5.407091907287968e-07,1.0587911840678752e-15
2145916.8,1e-05,9.459290809258654e-06,5.407091907413469e-07,5.293955920339376e-15
2209032.0,1e-05,9.459290809246474e-06,5.407091907535271e-07,4.235164736271501e-15
2272147.1999999997,1e-05,9.459290809234643e-06,5.407091907653587e-07,6.3527471044072525e-15
2335262.4,1e-05,9.45929080922314e-06,5.407091907768611e-07,3.1763735522036263e-15
2398377.6,1e-05,9.459290809211949e-06,5.407091907880521e-07,3.1763735522036263e-15
2461492.8,1e-05,9.459290809201053e-06,5.407091907989481e-07,1.0587911840678752e-15
2524608.0,1e-05,9.459290809190436e-06,5.407091908095643e-07,4.235164736271501e-15
2587723.1999999997,1e-05,9.459290809180085e-06,5.407091908199147e-07,7.411538288475128e-15
2650838.4,1e-05,9.459290809169989e-06,5.407091908300123e-07,2.1175823681357505e-15
2713953.6,1e-05,9.459290809160131e-06,5.407091908398691e-07,7.411538288475128e-15
2777068.8,1e-05,9.459290809150505e-06,5.407091908494964e-07,8.470329472543002e-15
2840184.0,1e-05,9.459290809141096e-06,5.407091908589045e-07,1.0587911840678752e-15
2903299.1999999997,1e-05,9.459290809131898e-06,5.407091908681033e-07,1.0587911840678752e-15
2966414.4,1e-05,9.459290809122899e-06,5.407091908771018e-07,2.1175823681357505e-15
3029529.5999999996,1e-05,9.459290809114093e-06,5.407091908859086e-07,8.470329472543002e-15
3092644.8,1e-05,9.459290809105469e-06,5.407091908945318e-07,5.293955920339376e-15
3155760.0,1e-05,9.459290809097022e-06,5.407091909029787e-07,2.1175823681357505e-15
3218875.1999999997,1e-05,9.459290809088745e-06,5.407091909112564e-07,3.1763735522036263e-15
3281990.4,1e-05,9.459290809080628e-06,5.407091909193717e-07,6.3527471044072525e-15
3345105.5999999996,1e-05,9.45929080907267e-06,5.407091909273308e-07,3.1763735522036263e-15
3408220.8,1e-05,9.459290809064862e-06,5.407091909351395e-07,4.235164736271501e-15
3471336.0,1e-05,9.459290809057198e-06,5.407091909428034e-07,4.235164736271501e-15
3534451.1999999997,1e-05,9.459290809049673e-06,5.407091909503278e-07,2.1175823681357505e-15
3597566.4,1e-05,9.459290809042283e-06,5.407091909577178e-07,2.1175823681357505e-15
3660681.5999999996,1e-05,9.459290809035023e-06,5.407091909649779e-07,4.235164736271501e-15
3723796.8,1e-05,9.459290809027889e-06,5.407091909721128e-07,7.411538288475128e-15
3786912.0,1e-05,9.459290809020874e-06,5.407091909791265e-07,6.3527471044072525e-15
3850027.1999999997,1e-05,9.459290809013977e-06,5.407091909860233e-07,4.235164736271501e-15
3913142.4,1e-05,9.459290809007194e-06,5.407091909928068e-07,1.0587911840678752e-15
3976257.5999999996,1e-05,9.45929080900052e-06,5.407091909994809e-07,4.235164736271501e-15
4039372.8,1e-05,9.459290808993952e-06,5.407091910060489e-07,3.1763735522036263e-15
4102488.0,1e-05,9.459290808987487e-06,5.407091910125142e-07,4.235164736271501e-15
4165603.1999999997,1e-05,9.45929080898112e-06,5.4070919101888e-07,1.0587911840678752e-15
4228718.399999999,1e-05,9.459290808974851e-06,5.407091910251492e-07,6.3527471044072525e-15
4291833.6,1e-05,9.459290808968676e-06,5.407091910313248e-07,1.0587911840678752e-15
4354948.8,1e-05,9.459290808962591e-06,5.407091910374095e-07,3.1763735522036263e-15
4418064.0,1e-05,9.459290808956596e-06,5.407091910434058e-07,7.411538288475128e-15
4481179.2,1e-05,9.459290808950683e-06,5.407091910493165e-07,8.470329472543002e-15
4544294.399999999,1e-05,9.459290808944858e-06,5.407091910551439e-07,6.3527471044072525e-15
4607409.6,1e-05,9.459290808939111e-06,5.407091910608903e-07,7.411538288475128e-15
4670524.8,1e-05,9.459290808933443e-06,5.407091910665579e-07,0.0
4733640.0,1e-05,9.459290808927853e-06,5.407091910721488e-07,5.293955920339376e-15
4796755.2,1e-05,9.459290808922335e-06,5.407091910776651e-07,7.411538288475128e-15
4859870.399999999,1e-05,9.459290808916892e-06,5.407091910831088e-07,1.0587911840678752e-15
4922985.6,1e-05,9.459290808911518e-06,5.407091910884818e-07,7.411538288475128e-15
4986100.8,1e-05,9.459290808906214e-06,5.407091910937858e-07,8.470329472543002e-15
5049216.0,1e-05,9.459290808900978e-06,5.407091910990226e-07,4.235164736271501e-15
5112331.2,1e-05,9.459290808895808e-06,5.407091911041938e-07,5.293955920339376e-15
5175446.399999999,1e-05,9.4592908088907e-06,5.407091911093012e-07,3.1763735522036263e-15
5238561.6,1e-05,9.459290808885655e-06,5.407091911143462e-07,4.235164736271501e-15
5301676.8,1e-05,9.459290808880671e-06,5.407091911193305e-07,7.411538288475128e-15
5364792.0,1e-05,9.459290808875745e-06,5.407091911242553e-07,7.411538288475128e-15
5427907.2,1e-05,9.45929080887088e-06,5.407091911291222e-07,7.411538288475128e-15
5491022.399999999,1e-05,9.459290808866068e-06,5.407091911339325e-07,1.0587911840678752e-15
5554137.6,1e-05,9.459290808861313e-06,5.407091911386874e-07,4.235164736271501e-15
5617252.8,1e-05,9.459290808856612e-06,5.407091911433882e-07,6.3527471044072525e-15
5680368.0,1e-05,9.459290808851965e-06,5.407091911480362e-07,5.293955920339376e-15
5743483.2,1e-05,9.459290808847369e-06,5.407091911526325e-07,8.470329472543002e-15
5806598.399999999,1e-05,9.459290808842822e-06,5.407091911571784e-07,2.1175823681357505e-15
5869713.6,1e-05,9.459290808838326e-06,5.407091911616747e-07,1.0587911840678752e-15
5932828.8,1e-05,9.459290808833878e-06,5.407091911661227e-07,5.293955920339376e-15
5995944.0,1e-05,9.459290808829478e-06,5.407091911705234e-07,6.3527471044072525e-15
6059059.199999999,1e-05,9.459290808825123e-06,5.407091911748776e-07,5.293955920339376e-15
6122174.399999999,1e-05,9.459290808820815e-06,5.407091911791865e-07,3.1763735522036263e-15
6185289.6,1e-05,9.45929080881655e-06,5.407091911834509e-07,7.411538288475128e-15
6248404.8,1e-05,9.459290808812329e-06,5.407091911876717e-07,0.0
6311520.0,1e-05,9.459290808808152e-06,5.4070919119185e-07,6.3527471044072525e-15
6374635.199999999,1e-05,9.459290808804015e-06,5.407091911959863e-07,1.0587911840678752e-15
6437750.399999999,1e-05,9.459290808799918e-06,5.407091912000817e-07,7.411538288475128e-15
6500865.6,1e-05,9.459290808795864e-06,5.40709191204137e-07,6.3527471044072525e-15
6563980.8,1e-05,9.459290808791848e-06,5.407091912081529e-07,1.0587911840678752e-15
6627096.0,1e-05,9.45929080878787e-06,5.407091912121301e-07,5.293955920339376e-15
6690211.199999999,1e-05,9.459290808783931e-06,5.407091912160695e-07,1.0587911840678752e-15
6753326.399999999,1e-05,9.45929080878003e-06,5.407091912199717e-07,8.470329472543002e-15
6816441.6,1e-05,9.459290808776164e-06,5.407091912238373e-07,6.3527471044072525e-15
6879556.8,1e-05,9.459290808772334e-06,5.407091912276672e-07,2.1175823681357505e-15
6942672.0,1e-05,9.45929080876854e-06,5.407091912314619e-07,2.1175823681357505e-15
7005787.199999999,1e-05,9.459290808764778e-06,5.407091912352221e-07,4.235164736271501e-15
7068902.399999999,1e-05,9.459290808761053e-06,5.407091912389484e-07,6.3527471044072525e-15
7132017.6,1e-05,9.45929080875736e-06,5.407091912426413e-07,5.293955920339376e-15
7195132.8,1e-05,9.459290808753699e-06,5.407091912463017e-07,0.0
7258248.0,1e-05,9.45929080875007e-06,5.407091912499298e-07,5.293955920339376e-15
7321363.199999999,1e-05,9.459290808746474e-06,5.407091912535264e-07,4.235164736271501e-15
7384478.399999999,1e-05,9.45929080874291e-06,5.40709191257092e-07,8.470329472543002e-15
7447593.6,1e-05,9.459290808739374e-06,5.407091912606271e-07,4.235164736271501e-15
7510708.8,1e-05,9.459290808735869e-06,5.407091912641322e-07,5.293955920339376e-15
7573824.0,1e-05,9.459290808732393e-06,5.407091912676079e-07,0.0
7636939.199999999,1e-05,9.459290808728945e-06,5.407091912710546e-07,7.411538288475128e-15
7700054.399999999,1e-05,9.459290808725529e-06,5.407091912744728e-07,5.293955920339376e-15
7763169.6,1e-05,9.459290808722137e-06,5.40709191277863e-07,8.470329472543002e-15
7826284.8,1e-05,9.459290808718776e-06,5.407091912812256e-07,7.411538288475128e-15
7889400.0,1e-05,9.45929080871544e-06,5.40709191284561e-07,5.293955920339376e-15
7952515.199999999,1e-05,9.459290808712132e-06,5.407091912878697e-07,7.411538288475128e-15
8015630.399999999,1e-05,9.459290808708849e-06,5.407091912911522e-07,1.0587911840678752e-15
8078745.6,1e-05,9.459290808705593e-06,5.407091912944088e-07,7.411538288475128e-15
8141860.8,1e-05,9.45929080870236e-06,5.407091912976399e-07,4.235164736271501e-15
8204976.0,1e-05,9.459290808699155e-06,5.40709191300846e-07,5.293955920339376e-15
8268091.199999999,1e-05,9.459290808695974e-06,5.407091913040275e-07,5.293955920339376e-15
8331206.399999999,1e-05,9.459290808692816e-06,5.407091913071846e-07,1.0587911840678752e-15
8394321.6,1e-05,9.459290808689684e-06,5.407091913103178e-07,7.411538288475128e-15
8457436.799999999,1e-05,9.459290808686573e-06,5.407091913134274e-07,1.0587911840678752e-15
8520552.0,1e-05,9.459290808683487e-06,5.407091913165138e-07,1.0587911840678752e-15
8583667.2,1e-05,9.459290808680424e-06,5.407091913195773e-07,5.293955920339376e-15
8646782.4,1e-05,9.459290808677383e-06,5.407091913226183e-07,6.3527471044072525e-15
8709897.6,1e-05,9.459290808674364e-06,5.407091913256371e-07,6.3527471044072525e-15
8773012.799999999,1e-05,9.459290808671368e-06,5.40709191328634e-07,7.411538288475128e-15
8836128.0,1e-05,9.459290808668391e-06,5.407091913316093e-07,4.235164736271501e-15
8899243.2,1e-05,9.459290808665437e-06,5.407091913345635e-07,7.411538288475128e-15
8962358.4,1e-05,9.459290808662504e-06,5.407091913374966e-07,0.0
9025473.6,1e-05,9.459290808659592e-06,5.40709191340409e-07,3.1763735522036263e-15
9088588.799999999,1e-05,9.4592908086567e-06,5.407091913433011e-07,6.3527471044072525e-15
9151704.0,1e-05,9.459290808653827e-06,5.407091913461731e-07,5.293955920339376e-15
9214819.2,1e-05,9.459290808650976e-06,5.407091913490253e-07,5.293955920339376e-15
9277934.4,1e-05,9.459290808648144e-06,5.407091913518579e-07,6.3527471044072525e-15
9341049.6,1e-05,9.45929080864533e-06,5.407091913546712e-07,1.0587911840678752e-15
9404164.799999999,1e-05,9.459290808642535e-06,5.407091913574655e-07,7.411538288475128e-15
9467280.0,1e-05,9.45929080863976e-06,5.407091913602412e-07,0.0
9530395.2,1e-05,9.459290808637003e-06,5.407091913629983e-07,8.470329472543002e-15
9593510.4,1e-05,9.459290808634264e-06,5.40709191365737e-07,3.1763735522036263e-15
9656625.6,1e-05,9.459290808631543e-06,5.407091913684578e-07,4.235164736271501e-15
9719740.799999999,1e-05,9.45929080862884e-06,5.407091913711608e-07,3.1763735522036263e-15
9782856.0,1e-05,9.459290808626155e-06,5.407091913738462e-07,0.0
9845971.2,1e-05,9.459290808623486e-06,5.407091913765143e-07,1.0587911840678752e-15
9909086.4,1e-05,9.459290808620835e-06,5.407091913791653e-07,3.1763735522036263e-15
9972201.6,1e-05,9.459290808618201e-06,5.407091913817993e-07,5.293955920339376e-15
10035316.799999999,1e-05,9.459290808615584e-06,5.407091913844168e-07,4.235164736271501e-15
10098432.0,1e-05,9.459290808612983e-06,5.407091913870177e-07,1.0587911840678752e-15
10161547.2,1e-05,9.459290808610398e-06,5.407091913896024e-07,3.1763735522036263e-15
10224662.4,1e-05,9.45929080860783e-06,5.40709191392171e-07,1.0587911840678752e-15
10287777.6,1e-05,9.459290808605277e-06,5.407091913947238e-07,1.0587911840678752e-15
10350892.799999999,1e-05,9.45929080860274e-06,5.407091913972608e-07,7.411538288475128e-15
10414008.0,1e-05,9.459290808600218e-06,5.407091913997825e-07,1.0587911840678752e-15
10477123.2,1e-05,9.459290808597711e-06,5.407091914022888e-07,7.411538288475128e-15
10540238.4,1e-05,9.459290808595221e-06,5.407091914047801e-07,2.1175823681357505e-15
10603353.6,1e-05,9.459290808592744e-06,5.407091914072564e-07,2.1175823681357505e-15
10666468.799999999,1e-05,9.459290808590283e-06,5.407091914097179e-07,1.0587911840678752e-15
10729584.0,1e-05,9.459290808587837e-06,5.407091914121649e-07,6.3527471044072525e-15
10792699.2,1e-05,9.459290808585404e-06,5.407091914145975e-07,5.293955920339376e-15
10855814.4,1e-05,9.459290808582985e-06,5.407091914170159e-07,2.1175823681357505e-15
10918929.6,1e-05,9.459290808580581e-06,5.407091914194202e-07,2.1175823681357505e-15
10982044.799999999,1e-05,9.45929080857819e-06,5.407091914218106e-07,3.1763735522036263e-15
11045160.0,1e-05,9.459290808575814e-06,5.407091914241873e-07,2.1175823681357505e-15
11108275.2,1e-05,9.45929080857345e-06,5.407091914265504e-07,1.0587911840678752e-15
11171390.4,1e-05,9.459290808571101e-06,5.407091914289001e-07,1.0587911840678752e-15
11234505.6,1e-05,9.459290808568765e-06,5.407091914312364e-07,3.1763735522036263e-15
11297620.799999999,1e-05,9.45929080856644e-06,5.407091914335596e-07,7.411538288475128e-15
11360736.0,1e-05,9.459290808564131e-06,5.407091914358699e-07,5.293955920339376e-15
11423851.2,1e-05,9.459290808561834e-06,5.407091914381672e-07,7.411538288475128e-15
11486966.4,1e-05,9.459290808559549e-06,5.407091914404519e-07,1.0587911840678752e-15
11550081.6,1e-05,9.459290808557277e-06,5.407091914427241e-07,5.293955920339376e-15
11613196.799999999,1e-05,9.459290808555017e-06,5.407091914449838e-07,4.235164736271501e-15
11676312.0,1e-05,9.45929080855277e-06,5.407091914472313e-07,1.0587911840678752e-15
11739427.2,1e-05,9.459290808550535e-06,5.407091914494667e-07,7.411538288475128e-15
11802542.4,1e-05,9.45929080854831e-06,5.407091914516899e-07,3.1763735522036263e-15
11865657.6,1e-05,9.4592908085461e-06,5.407091914539013e-07,3.1763735522036263e-15
11928772.799999999,1e-05,9.4592908085439e-06,5.407091914561009e-07,6.3527471044072525e-15
11991888.0,1e-05,9.459290808541712e-06,5.407091914582889e-07,3.1763735522036263e-15
12055003.2,1e-05,9.459290808539535e-06,5.407091914604654e-07,1.0587911840678752e-15
12118118.399999999,1e-05,9.45929080853737e-06,5.407091914626304e-07,1.0587911840678752e-15
12181233.6,1e-05,9.459290808535217e-06,5.407091914647842e-07,5.293955920339376e-15
12244348.799999999,1e-05,9.459290808533074e-06,5.407091914669268e-07,1.0587911840678752e-15
12307464.0,1e-05,9.459290808530943e-06,5.407091914690583e-07,5.293955920339376e-15
12370579.2,1e-05,9.459290808528822e-06,5.40709191471179e-07,2.1175823681357505e-15
12433694.399999999,1e-05,9.459290808526711e-06,5.407091914732888e-07,7.411538288475128e-15
12496809.6,1e-05,9.459290808524612e-06,5.407091914753879e-07,6.3527471044072525e-15
12559924.799999999,1e-05,9.459290808522525e-06,5.407091914774763e-07,7.411538288475128e-15
12623040.0,1e-05,9.459290808520447e-06,5.407091914795543e-07,1.0587911840678752e-15
12686155.2,1e-05,9.459290808518378e-06,5.407091914816219e-07,7.411538288475128e-15
12749270.399999999,1e-05,9.459290808516322e-06,5.407091914836793e-07,0.0
12812385.6,1e-05,9.459290808514275e-06,5.407091914857264e-07,7.411538288475128e-15
12875500.799999999,1e-05,9.459290808512237e-06,5.407091914877635e-07,2.1175823681357505e-15
12938616.0,1e-05,9.459290808510211e-06,5.407091914897905e-07,7.411538288475128e-15
