order,map_id,case_id,param_x_name,param_x_value,param_y_name,param_y_value,partition_index,partition_count,total_mass_lost_Mmars,mass_per_r2,s_min_effective,s_min_config,s_min_effective_gt_config,beta_at_smin,beta_threshold,s_blow_m,rho_used,Q_pr_used,T_M_used,outdir,run_status,case_status,message
250,3,alpha_3.0__smin_1e-9,alpha,3.0,s_min,1.0023075482838644e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0023075482838644e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1e-9/out,success,failed,
251,3,alpha_3.0__smin_1.01e-9,alpha,3.0,s_min,1.0115911122238298e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0115911122238298e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.01e-9/out,success,failed,
252,3,alpha_3.0__smin_1.02e-9,alpha,3.0,s_min,1.0209606623060476e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0209606623060476e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.02e-9/out,success,failed,
253,3,alpha_3.0__smin_1.03e-9,alpha,3.0,s_min,1.0304169949505896e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0304169949505896e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.03e-9/out,success,failed,
254,3,alpha_3.0__smin_1.04e-9,alpha,3.0,s_min,1.0399609139541182e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0399609139541182e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.04e-9/out,success,failed,
255,3,alpha_3.0__smin_1.05e-9,alpha,3.0,s_min,1.0495932305582266e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0495932305582266e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.05e-9/out,success,failed,
256,3,alpha_3.0__smin_1.06e-9,alpha,3.0,s_min,1.05931476351837e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.05931476351837e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.06e-9/out,success,failed,
257,3,alpha_3.0__smin_1.07e-9,alpha,3.0,s_min,1.0691263391734772e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0691263391734772e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.07e-9/out,success,failed,
258,3,alpha_3.0__smin_1.08e-9,alpha,3.0,s_min,1.0790287915161858e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0790287915161858e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.08e-9/out,success,failed,
259,3,alpha_3.0__smin_1.09e-9,alpha,3.0,s_min,1.0890229622637282e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.0890229622637282e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.09e-9/out,success,failed,
260,3,alpha_3.0__smin_1.1e-9,alpha,3.0,s_min,1.099109700929496e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.099109700929496e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.1e-9/out,success,failed,
261,3,alpha_3.0__smin_1.11e-9,alpha,3.0,s_min,1.1092898648952228e-09,2,4,3.46725291992476e-12,,0.009000000000000001,1.1092898648952228e-09,True,2.705929686959806e-05,0.5,4.870673436527652e-07,2500.0,1.0,2000.0,/Users/daichi/marsshearingsheet/sweeps/map3/map3/alpha_3.0__smin_1.11e-9/out,success,failed,
