time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999842763217e-07,1.5723678156196408e-14,6.093311515499087e-15
19723.5,1e-06,9.99999968266818e-07,3.173318189821543e-14,8.662218436233949e-15
29585.25,1e-06,9.999999522521234e-07,4.774787654632781e-14,3.5876908031134e-15
39447.0,1e-06,9.999999362373345e-07,6.376266546539065e-14,5.340344728098718e-15
49308.75,1e-06,9.999999202225438e-07,7.97774560964878e-14,5.110601926771944e-15
59170.5,1e-06,9.999999042077533e-07,9.579224675867684e-14,8.723463703649136e-15
69032.25,1e-06,9.999998881929625e-07,1.1180703742143053e-13,1.438170423042254e-15
78894.0,1e-06,9.999998721781718e-07,1.2782182808419448e-13,5.846095445121668e-15
88755.75,1e-06,9.999998561633813e-07,1.438366187469586e-13,8.0454775142013e-15
98617.5,1e-06,9.999998401485906e-07,1.5985140940972273e-13,7.612293165216544e-16
108479.25,1e-06,9.999998241337998e-07,1.758662000724869e-13,6.523016356803094e-15
118341.0,1e-06,9.999998081190093e-07,1.9188099073525105e-13,7.368561651229667e-15
128202.75,1e-06,9.999997921042186e-07,2.0789578139801519e-13,8.431345355002174e-17
138064.5,1e-06,9.999997760894278e-07,2.2391057206077932e-13,7.199934744129623e-15
147926.25,1e-06,9.999997600746373e-07,2.3992536272354346e-13,6.6916407395482405e-15
157788.0,1e-06,9.999997440598466e-07,2.559401533863076e-13,5.926074581314043e-16
167649.75,1e-06,9.999997280450558e-07,2.7195494404907173e-13,7.876855655811049e-15
177511.5,1e-06,9.999997120302653e-07,2.8796973471183586e-13,6.0147198278668145e-15
187373.25,1e-06,9.999996960154746e-07,3.039845253746e-13,1.2695283698128304e-15
197235.0,1e-06,9.999996800006838e-07,3.199993160373641e-13,8.553781616202269e-15
207096.75,1e-06,9.999996639858933e-07,3.360141067001282e-13,5.337793867475595e-15
216958.5,1e-06,9.999996479711026e-07,3.5202889736289235e-13,1.94645433020405e-15
226820.25,1e-06,9.999996319563118e-07,3.6804368802565644e-13,9.230707576593488e-15
236682.0,1e-06,9.999996159415213e-07,3.840584786884206e-13,4.6608679070843755e-15
246543.75,1e-06,9.999995999267306e-07,4.000732693511847e-13,2.6233802905952693e-15
256405.5,1e-06,9.999995839119398e-07,4.1608806001394885e-13,9.907628488274914e-15
266267.25,1e-06,9.999995678971493e-07,4.32102850676713e-13,3.9839469954029495e-15
276129.0,1e-06,9.999995518823586e-07,4.4811764133947707e-13,3.3003062509864888e-15
285990.75,1e-06,9.999995358675678e-07,4.641324320022412e-13,1.0584559497375927e-14
295852.5,1e-06,9.999995198527773e-07,4.801472226650053e-13,3.3070159863019366e-15
305714.25,1e-06,9.999995038379866e-07,4.961620133277694e-13,3.977232211377708e-15
315576.0,1e-06,9.99999487823196e-07,5.121768039905336e-13,9.914343272300155e-15
