time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999582337788e-07,4.176622109982998e-14,7.666493589203745e-15
19723.5,1e-06,9.999999148519168e-07,8.514808324500021e-14,8.402215561671621e-15
29585.25,1e-06,9.999998714076111e-07,1.2859238875439958e-13,8.344966979146646e-15
39447.0,1e-06,9.999998279608925e-07,1.7203910757363144e-13,7.380249414401421e-15
49308.75,1e-06,9.999997845140802e-07,2.1548591966228976e-13,9.665954323528853e-15
59170.5,1e-06,9.999997410672645e-07,2.58932735355618e-13,5.05834273170031e-15
69032.25,1e-06,9.999996976204487e-07,3.023795511882593e-13,7.69525356454193e-15
78894.0,1e-06,9.999996541736328e-07,3.458263670262847e-13,9.793749790174657e-15
88755.75,1e-06,9.999996107268172e-07,3.8927318286451826e-13,9.304388447318579e-15
98617.5,1e-06,9.999995672800013e-07,4.327199987027598e-13,7.22750574831146e-15
108479.25,1e-06,9.999995238331855e-07,4.761668145410017e-13,5.150653341563101e-15
118341.0,1e-06,9.999994803863696e-07,5.196136303792436e-13,3.073805983524535e-15
128202.75,1e-06,9.999994369395537e-07,5.630604462174855e-13,9.969586254859697e-16
138064.5,1e-06,9.999993934927379e-07,6.065072620557274e-13,1.0798887325525958e-15
147926.25,1e-06,9.99999350045922e-07,6.499540778939693e-13,3.1567360905911613e-15
157788.0,1e-06,9.999993065991062e-07,6.934008937322112e-13,5.233583448629727e-15
167649.75,1e-06,9.999992631522903e-07,7.368477095704532e-13,7.310430806668292e-15
177511.5,1e-06,9.999992197054745e-07,7.802945254086951e-13,9.387278164706858e-15
187373.25,1e-06,9.999991762586588e-07,8.23741341246937e-13,9.711698158612085e-15
197235.0,1e-06,9.99999132811843e-07,8.671881570851789e-13,7.63485080057352e-15
207096.75,1e-06,9.99999089365027e-07,9.106349729234208e-13,5.558003442534954e-15
216958.5,1e-06,9.999990459182112e-07,9.540817887616628e-13,3.4811661819159755e-15
226820.25,1e-06,9.999990024713954e-07,9.975286045999046e-13,1.4043087264578232e-15
236682.0,1e-06,9.999989590245795e-07,1.0409754204381464e-12,6.725487290003291e-16
246543.75,1e-06,9.999989155777637e-07,1.0844222362763885e-12,2.7493859896193078e-15
256405.5,1e-06,9.999988721309478e-07,1.1278690521146303e-12,4.82624344507746e-15
266267.25,1e-06,9.99998828684132e-07,1.1713158679528723e-12,6.903080705696439e-15
276129.0,1e-06,9.99998785237316e-07,1.214762683791114e-12,8.979938161154591e-15
285990.75,1e-06,9.999987417905004e-07,1.2582094996293559e-12,1.0119028064744765e-14
295852.5,1e-06,9.999986983436846e-07,1.301656315467598e-12,8.042190804125786e-15
305714.25,1e-06,9.999986548968687e-07,1.34510313130584e-12,5.965353543506808e-15
315576.0,1e-06,9.999986114500528e-07,1.3885499471440817e-12,3.8884960880486554e-15
