time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999170831187e-07,8.291688132527576e-14,4.967049436860893e-15
19723.5,1e-06,9.999998287186543e-07,1.7128134574138643e-13,5.716005339874757e-15
29585.25,1e-06,9.999997399962873e-07,2.6000371267325675e-13,3.1733513945212884e-15
39447.0,1e-06,9.999996512504063e-07,3.4874959355770703e-13,9.924531568663266e-15
49308.75,1e-06,9.999995625029807e-07,4.37497019292896e-13,5.593521115931625e-15
59170.5,1e-06,9.999994737554535e-07,5.262445465237309e-13,6.280796931399344e-15
69032.25,1e-06,9.999993850079195e-07,6.149920804227609e-13,3.838766296583523e-15
78894.0,1e-06,9.999992962603853e-07,7.037396147598868e-13,8.67543027867459e-15
88755.75,1e-06,9.999992075128509e-07,7.924871491257953e-13,2.892062528381201e-15
98617.5,1e-06,9.999991187653164e-07,8.812346834935948e-13,2.702200747890056e-15
108479.25,1e-06,9.99999030017782e-07,9.699822178615185e-13,8.284044198069513e-15
118341.0,1e-06,9.999989412702478e-07,1.0587297522294506e-12,7.310774118934244e-15
128202.75,1e-06,9.999988525227134e-07,1.147477286597383e-12,1.7297889494196676e-15
138064.5,1e-06,9.99998763775179e-07,1.2362248209653154e-12,3.851176025255736e-15
147926.25,1e-06,9.999986750276445e-07,1.3249723553332477e-12,9.432161194770312e-15
157788.0,1e-06,9.999985862801103e-07,1.4137198897011802e-12,6.162697511911793e-15
167649.75,1e-06,9.999984975325759e-07,1.5024674240691127e-12,5.817325372363895e-16
177511.5,1e-06,9.999984087850415e-07,1.591214958437045e-12,4.999252632278187e-15
187373.25,1e-06,9.99998320037507e-07,1.6799624928049775e-12,1.058021760695359e-14
197235.0,1e-06,9.999982312899728e-07,1.7687100271729098e-12,5.014620904889341e-15
207096.75,1e-06,9.999981425424384e-07,1.8574575615408423e-12,5.663440697860622e-16
216958.5,1e-06,9.99998053794904e-07,1.946205095908775e-12,6.1473090444614654e-15
226820.25,1e-06,9.999979650473698e-07,2.0349526302767073e-12,9.44754966222064e-15
236682.0,1e-06,9.999978762998353e-07,2.12370016464464e-12,3.8665846875452366e-15
246543.75,1e-06,9.99997787552301e-07,2.212447699012572e-12,1.714420676808514e-15
256405.5,1e-06,9.999976988047665e-07,2.3011952333805044e-12,7.295385651483917e-15
266267.25,1e-06,9.999976100572323e-07,2.389942767748437e-12,8.299473055198188e-15
276129.0,1e-06,9.999975213096979e-07,2.4786903021163695e-12,2.718508080522785e-15
285990.75,1e-06,9.999974325621634e-07,2.5674378364843016e-12,2.8624972838309657e-15
295852.5,1e-06,9.99997343814629e-07,2.656185370852234e-12,8.443462258506369e-15
305714.25,1e-06,9.999972550670948e-07,2.7449329052201666e-12,7.151396448175736e-15
315576.0,1e-06,9.999971663195604e-07,2.833680439588099e-12,1.5704314735003331e-15
