time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999998231627263e-07,1.768372737292309e-13,8.067245026475606e-15
19723.5,1e-06,9.999996270652401e-07,3.7293475990558767e-13,1.0062447174089969e-14
29585.25,1e-06,9.999994288814845e-07,5.711185154301628e-13,2.8949301955438603e-16
39447.0,1e-06,9.999992304718784e-07,7.695281216703688e-13,8.508105938701248e-15
49308.75,1e-06,9.999990320378239e-07,9.679621759819291e-13,9.685162139937899e-15
59170.5,1e-06,9.999988336011233e-07,1.1663988767496925e-12,4.649154900363654e-15
69032.25,1e-06,9.99998635164136e-07,1.3648358639909796e-12,5.7294172374409625e-15
78894.0,1e-06,9.999984367271176e-07,1.563272882242443e-12,6.760626310165456e-15
88755.75,1e-06,9.999982382900962e-07,1.7617099038506947e-12,1.0249648284519984e-14
98617.5,1e-06,9.999980398530741e-07,1.960146925822312e-12,6.902596029556271e-17
108479.25,1e-06,9.99997841416052e-07,2.158583947833263e-12,6.178247538075509e-15
118341.0,1e-06,9.999976429790302e-07,2.3570209698484716e-12,9.176050244369983e-15
128202.75,1e-06,9.999974445420081e-07,2.5554579918641412e-12,3.4006493581306015e-15
138064.5,1e-06,9.99997246104986e-07,2.753895013879861e-12,2.369743207993713e-15
147926.25,1e-06,9.99997047667964e-07,2.9523320358955856e-12,8.13965109797786e-15
157788.0,1e-06,9.999968492309421e-07,3.150769057911311e-12,7.266345472752197e-15
167649.75,1e-06,9.9999665079392e-07,3.349206079927037e-12,1.4965587518030925e-15
177511.5,1e-06,9.99996452356898e-07,3.547643101942762e-12,4.273308748502707e-15
187373.25,1e-06,9.99996253919876e-07,3.746080123958488e-12,1.0043055079773464e-14
197235.0,1e-06,9.99996055482854e-07,3.9445171459742135e-12,5.3629414909565925e-15
207096.75,1e-06,9.99995857045832e-07,4.142954167989939e-12,4.068856196708594e-16
216958.5,1e-06,9.999956586088099e-07,4.341391190005664e-12,6.176712730298311e-15
226820.25,1e-06,9.99995460171788e-07,4.539828212021391e-12,9.22936461978844e-15
236682.0,1e-06,9.99995261734766e-07,4.738265234037116e-12,3.459537509160988e-15
246543.75,1e-06,9.999950632977439e-07,4.9367022560528415e-12,2.310289601466464e-15
256405.5,1e-06,9.999948648607218e-07,5.135139278068568e-12,8.080035932737221e-15
266267.25,1e-06,9.999946664237e-07,5.333576300084293e-12,7.325960637992835e-15
276129.0,1e-06,9.999944679866779e-07,5.5320133221000185e-12,1.5561335273653833e-15
285990.75,1e-06,9.999942695496558e-07,5.730450344115745e-12,4.213612803905374e-15
295852.5,1e-06,9.999940711126337e-07,5.92888736613147e-12,9.983439914532826e-15
305714.25,1e-06,9.999938726756119e-07,6.1273243881471964e-12,5.422637435553925e-15
315576.0,1e-06,9.999936742385898e-07,6.325761410162922e-12,3.4718967507352665e-16
