time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.99999789724164e-07,2.102758360609497e-13,7.869383565316796e-15
19723.5,1e-06,9.999995527646505e-07,4.4723534941443424e-13,6.187294826025308e-16
29585.25,1e-06,9.999993124285055e-07,6.875714943725417e-13,8.438867932594362e-15
39447.0,1e-06,9.999990716652235e-07,9.283347764602467e-13,5.043095628124199e-15
49308.75,1e-06,9.99998830847912e-07,1.1691520881090522e-12,5.574462236461485e-15
59170.5,1e-06,9.99998590023766e-07,1.409976234042835e-12,6.070063784622224e-15
69032.25,1e-06,9.999983491987554e-07,1.6508012444555549e-12,6.428724128346388e-15
78894.0,1e-06,9.999981083736358e-07,1.8916263642174996e-12,1.044578056257455e-14
88755.75,1e-06,9.99997867548502e-07,2.13245149781119e-12,8.285336667776628e-15
98617.5,1e-06,9.999976267233668e-07,2.3732766331544784e-12,2.8741295111949926e-16
108479.25,1e-06,9.999973858982313e-07,2.614101768719076e-12,8.665605489416606e-15
118341.0,1e-06,9.999971450730956e-07,2.8549269043116677e-12,7.577911451523391e-16
128202.75,1e-06,9.9999690424796e-07,3.0957520399078e-12,9.827131859328714e-15
138064.5,1e-06,9.999966634228245e-07,3.3365771755043805e-12,2.3241836508179407e-15
147926.25,1e-06,9.999964225976888e-07,3.5774023111010177e-12,6.694669965424289e-15
157788.0,1e-06,9.999961817725533e-07,3.818227446697662e-12,5.463027113901241e-15
167649.75,1e-06,9.999959409474176e-07,4.0590525822943065e-12,3.555099488130737e-15
177511.5,1e-06,9.999957001222821e-07,4.299877717890952e-12,8.602678370551488e-15
187373.25,1e-06,9.999954592971465e-07,4.540702853487597e-12,4.1536745212379573e-16
197235.0,1e-06,9.999952184720108e-07,4.781527989084242e-12,9.43341327479908e-15
207096.75,1e-06,9.999949776468753e-07,5.022353124680887e-12,2.7243645838831456e-15
216958.5,1e-06,9.999947368217396e-07,5.2631782602775325e-12,6.293681238792138e-15
226820.25,1e-06,9.999944959966041e-07,5.504003395874178e-12,5.864096619890087e-15
236682.0,1e-06,9.999942551714685e-07,5.744828531470823e-12,3.1539492027851965e-15
246543.75,1e-06,9.99994014346333e-07,5.985653667067468e-12,9.003828655897028e-15
256405.5,1e-06,9.999937735211973e-07,6.226478802664113e-12,1.4217166778255163e-17
266267.25,1e-06,9.999935326960616e-07,6.467303938260758e-12,9.032343768810233e-15
276129.0,1e-06,9.999932918709261e-07,6.708129073857403e-12,3.1254340898719916e-15
285990.75,1e-06,9.999930510457904e-07,6.948954209454048e-12,5.892611732803292e-15
295852.5,1e-06,9.99992810220655e-07,7.189779345050693e-12,6.265166125878933e-15
305714.25,1e-06,9.999925693955193e-07,7.430604480647338e-12,2.7529604761530452e-15
315576.0,1e-06,9.999923285703838e-07,7.671429616243983e-12,9.40481738252918e-15
