time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999698762248e-07,3.012377521802788e-14,9.044492857839361e-15
19723.5,1e-06,9.999999374738508e-07,6.252614913356731e-14,6.084414742210005e-16
29585.25,1e-06,9.99999904899121e-07,9.510087900117334e-14,1.0303788123989665e-14
39447.0,1e-06,9.99999872311354e-07,1.2768864608073613e-13,1.0475103469054701e-14
49308.75,1e-06,9.999998397226007e-07,1.6027739931072516e-13,9.878159169210754e-15
59170.5,1e-06,9.999998071337728e-07,1.9286622713432104e-13,6.4238596964604335e-15
69032.25,1e-06,9.999997745449393e-07,2.2545506060026725e-13,9.062262423046008e-15
78894.0,1e-06,9.999997419561056e-07,2.580438944930076e-13,9.802928344579085e-15
88755.75,1e-06,9.999997093672714e-07,2.9063272841803126e-13,1.0455201455049061e-14
98617.5,1e-06,9.999996767784375e-07,3.232215623454968e-13,9.293316626741621e-15
108479.25,1e-06,9.999996441896036e-07,3.5581039627314714e-13,8.112953520590284e-15
118341.0,1e-06,9.999996116007697e-07,3.8839923020081136e-13,6.9312020192457574e-15
128202.75,1e-06,9.999995790119358e-07,4.209880641284767e-13,5.749339446285776e-15
138064.5,1e-06,9.999995464231019e-07,4.5357689805614207e-13,4.567471824616001e-15
147926.25,1e-06,9.99999513834268e-07,4.861657319838074e-13,3.3856042029462263e-15
157788.0,1e-06,9.99999481245434e-07,5.187545659114728e-13,2.203741629986245e-15
167649.75,1e-06,9.999994486566e-07,5.513433998391382e-13,1.0218689596066767e-15
177511.5,1e-06,9.999994160677662e-07,5.839322337668035e-13,1.5999361335330473e-16
187373.25,1e-06,9.999993834789323e-07,6.165210676944689e-13,1.3418561863132861e-15
197235.0,1e-06,9.999993508900984e-07,6.491099016221343e-13,2.5237288566928544e-15
207096.75,1e-06,9.999993183012644e-07,6.816987355497996e-13,3.705591429652836e-15
216958.5,1e-06,9.999992857124305e-07,7.142875694774649e-13,4.887454002612817e-15
226820.25,1e-06,9.999992531235966e-07,7.468764034051304e-13,6.0693266729923854e-15
236682.0,1e-06,9.999992205347627e-07,7.794652373327957e-13,7.251189245952367e-15
246543.75,1e-06,9.999991879459288e-07,8.12054071260461e-13,8.433051818912348e-15
256405.5,1e-06,9.999991553570949e-07,8.446429051881265e-13,9.614924489291917e-15
266267.25,1e-06,9.999991227682607e-07,8.772317391157918e-13,1.037903661910561e-14
276129.0,1e-06,9.999990901794268e-07,9.098205730434571e-13,9.197174046145629e-15
285990.75,1e-06,9.99999057590593e-07,9.424094069711224e-13,8.015311473185648e-15
295852.5,1e-06,9.99999025001759e-07,9.74998240898788e-13,6.833428705386493e-15
305714.25,1e-06,9.99998992412925e-07,1.0075870748264533e-12,5.651566132426511e-15
315576.0,1e-06,9.999989598240912e-07,1.0401759087541188e-12,4.469683364627356e-15
