time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999899587416e-07,1.0041258406009298e-14,3.0148313733389365e-15
19723.5,1e-06,9.999999791579502e-07,2.084204979726129e-14,8.40440480845579e-15
29585.25,1e-06,9.999999682997068e-07,3.170029318604916e-14,8.245773715657983e-16
39447.0,1e-06,9.999999574371176e-07,4.256288231371069e-14,3.121473377039058e-15
49308.75,1e-06,9.999999465741998e-07,5.342580015833887e-14,2.492125195563528e-16
59170.5,1e-06,9.99999935711257e-07,6.428874286751765e-14,9.669085785778219e-15
69032.25,1e-06,9.999999248483125e-07,7.515168745748125e-14,4.1706760514672806e-16
78894.0,1e-06,9.999999139853678e-07,8.601463218970967e-14,1.8856098041287153e-15
88755.75,1e-06,9.99999903122423e-07,9.68775769326992e-14,5.264398248853832e-15
98617.5,1e-06,9.999998922594784e-07,1.0774052167650269e-13,8.724583255045825e-15
108479.25,1e-06,9.999998813965334e-07,1.1860346642036776e-13,8.984898518526621e-15
118341.0,1e-06,9.999998705335887e-07,1.294664111642375e-13,5.518088342908219e-15
128202.75,1e-06,9.99999859670644e-07,1.4032935590810758e-13,2.0512453506761607e-15
138064.5,1e-06,9.999998488076993e-07,1.5119230065197769e-13,1.4156001659107947e-15
147926.25,1e-06,9.999998379447546e-07,1.620552453958478e-13,4.882448206852647e-15
157788.0,1e-06,9.9999982708181e-07,1.7291819013971791e-13,8.349293723439602e-15
167649.75,1e-06,9.99999816218865e-07,1.8378113488358804e-13,9.359681916976054e-15
177511.5,1e-06,9.999998053559203e-07,1.9464407962745814e-13,5.892836400389099e-15
187373.25,1e-06,9.999997944929756e-07,2.0550702437132824e-13,2.4259908838021436e-15
197235.0,1e-06,9.999997836300308e-07,2.1636996911519837e-13,1.0408571571397085e-15
207096.75,1e-06,9.999997727670861e-07,2.2723291385906847e-13,4.507702673726664e-15
216958.5,1e-06,9.999997619041414e-07,2.3809585860293857e-13,7.97454819031362e-15
226820.25,1e-06,9.999997510411965e-07,2.489588033468087e-13,9.734427450102037e-15
236682.0,1e-06,9.999997401782518e-07,2.5982174809067883e-13,6.267579409160185e-15
246543.75,1e-06,9.99999729315307e-07,2.706846928345489e-13,2.8007364169281264e-15
256405.5,1e-06,9.999997184523624e-07,2.8154763757841903e-13,6.661116240137257e-16
266267.25,1e-06,9.999997075894177e-07,2.9241058232228916e-13,4.132959664955578e-15
276129.0,1e-06,9.99999696726473e-07,3.0327352706615923e-13,7.599802657187636e-15
285990.75,1e-06,9.99999685863528e-07,3.1413647181002936e-13,1.010917298322802e-14
295852.5,1e-06,9.999996750005833e-07,3.249994165538995e-13,6.642324942286168e-15
305714.25,1e-06,9.999996641376386e-07,3.358623612977696e-13,3.175476901344316e-15
315576.0,1e-06,9.99999653274694e-07,3.467253060416397e-13,2.913660908877428e-16
