time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999170831187e-07,8.291688132527576e-14,4.967049436860893e-15
19723.5,1e-06,9.999998287186543e-07,1.7128134573861918e-13,5.439280507387916e-15
29585.25,1e-06,9.999997399962873e-07,2.6000371266734673e-13,2.58234942610419e-15
39447.0,1e-06,9.999996512504065e-07,3.487495935486168e-13,1.0342266865680173e-14
49308.75,1e-06,9.999995625029807e-07,4.3749701928062223e-13,4.366144424184012e-15
59170.5,1e-06,9.999994737554535e-07,5.262445465082732e-13,4.735033453949634e-15
69032.25,1e-06,9.999993850079195e-07,6.149920804041194e-13,5.7029115110255365e-15
78894.0,1e-06,9.999992962603853e-07,7.037396147380615e-13,6.492903327240273e-15
88755.75,1e-06,9.999992075128509e-07,7.924871491007861e-13,3.911437425349931e-16
98617.5,1e-06,9.999991187653164e-07,8.812346834654017e-13,5.521511368148154e-15
108479.25,1e-06,9.999990300177822e-07,9.699822178301416e-13,9.754087126037593e-15
118341.0,1e-06,9.999989412702478e-07,1.0587297521948898e-12,3.854689927271952e-15
128202.75,1e-06,9.999988525227134e-07,1.1474772865596383e-12,2.0446668818153416e-15
138064.5,1e-06,9.99998763775179e-07,1.236224820924387e-12,7.944023690902635e-15
147926.25,1e-06,9.999986750276447e-07,1.3249723552891357e-12,7.332463376206753e-15
157788.0,1e-06,9.999985862801103e-07,1.4137198896538843e-12,1.4331065671194594e-15
167649.75,1e-06,9.999984975325759e-07,1.5024674240186329e-12,4.466250241967834e-15
177511.5,1e-06,9.999984087850415e-07,1.5912149583833817e-12,1.0365586856215954e-14
187373.25,1e-06,9.999983200375073e-07,1.6799624927481303e-12,4.91088001605426e-15
197235.0,1e-06,9.999982312899728e-07,1.768710027112879e-12,9.884565981938597e-16
207096.75,1e-06,9.999981425424384e-07,1.8574575614776276e-12,6.887813407281153e-15
216958.5,1e-06,9.999980537949042e-07,1.9462050958423762e-12,8.388653464989061e-15
226820.25,1e-06,9.999979650473698e-07,2.034952630207125e-12,2.4892966559017677e-15
236682.0,1e-06,9.999978762998353e-07,2.1237001645718734e-12,3.410060153185526e-15
246543.75,1e-06,9.99997787552301e-07,2.212447698936622e-12,9.30941696227282e-15
256405.5,1e-06,9.999976988047667e-07,2.3011952333013706e-12,5.967049909997395e-15
266267.25,1e-06,9.999976100572323e-07,2.3899427676661196e-12,6.77334905884486e-17
276129.0,1e-06,9.999975213096979e-07,2.478690302030868e-12,5.831623318498845e-15
285990.75,1e-06,9.999974325621637e-07,2.5674378363956167e-12,9.44484355377137e-15
295852.5,1e-06,9.999973438146292e-07,2.6561853707603653e-12,3.545486744684076e-15
305714.25,1e-06,9.999972550670948e-07,2.7449329051251143e-12,2.3538296747248705e-15
315576.0,1e-06,9.999971663195604e-07,2.833680439489863e-12,8.253186483812164e-15
