time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.99999899587416e-07,1.0041258406009296e-13,8.972488789854408e-15
19723.5,1e-06,9.999997915795058e-07,2.0842049409859154e-13,6.8965552482884506e-15
29585.25,1e-06,9.999996829970764e-07,3.1700292350421217e-13,1.5250486211673304e-15
39447.0,1e-06,9.999995743711896e-07,4.2562881022859263e-13,9.165094544118274e-15
49308.75,1e-06,9.99999465742016e-07,5.342579841155325e-13,8.315618829117528e-15
59170.5,1e-06,9.999993571125934e-07,6.428874066473038e-13,8.686648511835557e-15
69032.25,1e-06,9.99999248483152e-07,7.515168479868617e-13,5.1880339888735414e-15
78894.0,1e-06,9.999991398537092e-07,8.601462907490627e-13,4.2770447937498335e-15
88755.75,1e-06,9.999990312242663e-07,9.68775733618874e-13,2.981081379458685e-15
98617.5,1e-06,9.999989225948234e-07,1.077405176496825e-12,8.711649722732546e-16
108479.25,1e-06,9.999988139653806e-07,1.1860346193753917e-12,1.3003456943918323e-15
118341.0,1e-06,9.999987053359377e-07,1.2946640622540052e-12,3.4765213689060342e-15
128202.75,1e-06,9.999985967064949e-07,1.4032935051326221e-12,5.653040355686188e-15
138064.5,1e-06,9.99998488077052e-07,1.5119229480112393e-12,7.829579537305516e-15
147926.25,1e-06,9.999983794476092e-07,1.6205523908898564e-12,1.0006118718924844e-14
157788.0,1e-06,9.99998270818166e-07,1.7291818337684737e-12,8.993145585974163e-15
167649.75,1e-06,9.999981621887232e-07,1.837811276647091e-12,6.816606404354836e-15
177511.5,1e-06,9.999980535592804e-07,1.946440719525708e-12,4.640047027896334e-15
187373.25,1e-06,9.999979449298375e-07,2.055070162404325e-12,2.46352804111618e-15
197235.0,1e-06,9.999978363003947e-07,2.1636996052829424e-12,2.869686646576788e-16
207096.75,1e-06,9.999977276709518e-07,2.2723290481615597e-12,1.8895907118008226e-15
216958.5,1e-06,9.99997619041509e-07,2.3809584910401774e-12,4.066190477937671e-15
226820.25,1e-06,9.99997510412066e-07,2.4895879339187948e-12,6.242749854396173e-15
236682.0,1e-06,9.999974017826232e-07,2.598217376797412e-12,8.419309230854674e-15
246543.75,1e-06,9.999972931531802e-07,2.7068468196760294e-12,1.0579955074044333e-14
256405.5,1e-06,9.999971845237373e-07,2.8154762625546467e-12,8.403395697585832e-15
266267.25,1e-06,9.999970758942945e-07,2.924105705433264e-12,6.22683632112733e-15
276129.0,1e-06,9.999969672648516e-07,3.0327351483118814e-12,4.050276944668829e-15
285990.75,1e-06,9.999968586354087e-07,3.141364591190499e-12,1.87367717853198e-15
295852.5,1e-06,9.999967500059659e-07,3.2499940340691164e-12,3.028821979265212e-16
305714.25,1e-06,9.99996641376523e-07,3.3586234769477337e-12,2.4794415743850226e-15
315576.0,1e-06,9.999965327470802e-07,3.467252919826351e-12,4.656000950843524e-15
