T_M,s,Q_pr
2000.0,1e-07,0.0341577180962706
2000.0,2.5118864315095823e-07,0.5847064151650845
2000.0,6.30957344480193e-07,0.9824717945526528
2000.0,1.584893192461114e-06,0.9995520569724807
2000.0,3.981071705534969e-06,0.9999887432641533
2000.0,1e-05,0.9999997172404766
2000.0,2.5118864315095822e-05,0.9999999928973999
2000.0,6.309573444801943e-05,0.9999999998215907
2000.0,0.00015848931924611142,0.9999999999955186
2000.0,0.00039810717055349735,0.9999999999998874
2000.0,0.001,0.9999999999999972
2000.0,0.002511886431509582,0.9999999999999999
2000.0,0.006309573444801942,1.0
2000.0,0.01584893192461114,1.0
2000.0,0.039810717055349776,1.0
2000.0,0.1,1.0
2300.0,1e-07,0.05825173011447494
2300.0,2.5118864315095823e-07,0.7111902756425169
2300.0,6.30957344480193e-07,0.9899023950133355
2300.0,1.584893192461114e-06,0.9997438379805771
2300.0,3.981071705534969e-06,0.9999935638937185
2300.0,1e-05,0.9999998383313052
2300.0,2.5118864315095822e-05,0.9999999959390653
2300.0,6.309573444801943e-05,0.9999999998979939
2300.0,0.00015848931924611142,0.9999999999974377
2300.0,0.00039810717055349735,0.9999999999999356
2300.0,0.001,0.9999999999999983
2300.0,0.002511886431509582,1.0
2300.0,0.006309573444801942,1.0
2300.0,0.01584893192461114,1.0
2300.0,0.039810717055349776,1.0
2300.0,0.1,1.0
2600.0,1e-07,0.09174143855531375
2600.0,2.5118864315095823e-07,0.8008445561397475
2600.0,6.30957344480193e-07,0.9937921741225962
2600.0,1.584893192461114e-06,0.9998431170252202
2600.0,3.981071705534969e-06,0.999996058675048
2600.0,1e-05,0.999999900998013
2600.0,2.5118864315095822e-05,0.9999999975131822
2600.0,6.309573444801943e-05,0.999999999937534
2600.0,0.00015848931924611142,0.9999999999984309
2600.0,0.00039810717055349735,0.9999999999999606
2600.0,0.001,0.999999999999999
2600.0,0.002511886431509582,1.0
2600.0,0.006309573444801942,1.0
2600.0,0.01584893192461114,1.0
2600.0,0.039810717055349776,1.0
2600.0,0.1,1.0
2900.0,1e-07,0.13519828630366565
2900.0,2.5118864315095823e-07,0.8615684334810442
2900.0,6.30957344480193e-07,0.9959802773103251
2900.0,1.584893192461114e-06,0.9998986318947266
2900.0,3.981071705534969e-06,0.9999974534966676
2900.0,1e-05,0.9999999360345695
2900.0,2.5118864315095822e-05,0.9999999983932609
2900.0,6.309573444801943e-05,0.9999999999596405
2900.0,0.00015848931924611142,0.9999999999989863
2900.0,0.00039810717055349735,0.9999999999999746
2900.0,0.001,0.9999999999999993
2900.0,0.002511886431509582,1.0
2900.0,0.006309573444801942,1.0
2900.0,0.01584893192461114,1.0
2900.0,0.039810717055349776,1.0
2900.0,0.1,1.0
3200.0,1e-07,0.18816200772073155
3200.0,2.5118864315095823e-07,0.9022200304142658
3200.0,6.30957344480193e-07,0.9972850817579559
3200.0,1.584893192461114e-06,0.9999316233630626
3200.0,3.981071705534969e-06,0.9999982823420369
3200.0,1e-05,0.9999999568543104
3200.0,2.5118864315095822e-05,0.9999999989162293
3200.0,6.309573444801943e-05,0.9999999999727769
3200.0,0.00015848931924611142,0.9999999999993162
3200.0,0.00039810717055349735,0.9999999999999828
3200.0,0.001,0.9999999999999996
3200.0,0.002511886431509582,1.0
3200.0,0.006309573444801942,1.0
3200.0,0.01584893192461114,1.0
3200.0,0.039810717055349776,1.0
3200.0,0.1,1.0
3500.0,1e-07,0.24907554059997736
3500.0,2.5118864315095823e-07,0.929601714098553
3500.0,6.30957344480193e-07,0.9981013722609101
3500.0,1.584893192461114e-06,0.9999522201900491
3500.0,3.981071705534969e-06,0.9999987997695305
3500.0,1e-05,0.9999999698515384
3500.0,2.5118864315095822e-05,0.9999999992427049
3500.0,6.309573444801943e-05,0.9999999999809777
3500.0,0.00015848931924611142,0.9999999999995222
3500.0,0.00039810717055349735,0.999999999999988
3500.0,0.001,0.9999999999999997
3500.0,0.002511886431509582,1.0
3500.0,0.006309573444801942,1.0
3500.0,0.01584893192461114,1.0
3500.0,0.039810717055349776,1.0
3500.0,0.1,1.0
3800.0,1e-07,0.31548564361109044
3800.0,2.5118864315095823e-07,0.9483160090130397
3800.0,6.30957344480193e-07,0.9986328731335934
3800.0,1.584893192461114e-06,0.9999656134958833
3800.0,3.981071705534969e-06,0.9999991362211126
3800.0,1e-05,0.999999978302837
3800.0,2.5118864315095822e-05,0.9999999994549919
3800.0,6.309573444801943e-05,0.9999999999863101
3800.0,0.00015848931924611142,0.9999999999996562
3800.0,0.00039810717055349735,0.9999999999999913
3800.0,0.001,0.9999999999999998
3800.0,0.002511886431509582,1.0
3800.0,0.006309573444801942,1.0
3800.0,0.01584893192461114,1.0
3800.0,0.039810717055349776,1.0
3800.0,0.1,1.0
4100.0,1e-07,0.38446174321670495
4100.0,2.5118864315095823e-07,0.9613385380813313
4100.0,6.30957344480193e-07,0.9989908321132636
4100.0,1.584893192461114e-06,0.9999746258852524
4100.0,3.981071705534969e-06,0.9999993626152878
4100.0,1e-05,0.99999998398961
4100.0,2.5118864315095822e-05,0.9999999995978371
4100.0,6.309573444801943e-05,0.9999999999898981
4100.0,0.00015848931924611142,0.9999999999997462
4100.0,0.00039810717055349735,0.9999999999999937
4100.0,0.001,0.9999999999999999
4100.0,0.002511886431509582,1.0
4100.0,0.006309573444801942,1.0
4100.0,0.01584893192461114,1.0
4100.0,0.039810717055349776,1.0
4100.0,0.1,1.0
4400.0,1e-07,0.4530927084175552
4400.0,2.5118864315095823e-07,0.9705724175304644
4400.0,6.30957344480193e-07,0.9992389801095937
4400.0,1.584893192461114e-06,0.9999808698518996
4400.0,3.981071705534969e-06,0.9999995194634437
4400.0,1e-05,0.9999999879294618
4400.0,2.5118864315095822e-05,0.9999999996968018
4400.0,6.309573444801943e-05,0.999999999992384
4400.0,0.00015848931924611142,0.9999999999998087
4400.0,0.00039810717055349735,0.9999999999999952
4400.0,0.001,0.9999999999999999
4400.0,0.002511886431509582,1.0
4400.0,0.006309573444801942,1.0
4400.0,0.01584893192461114,1.0
4400.0,0.039810717055349776,1.0
4400.0,0.1,1.0
4700.0,1e-07,0.5189033176402045
4700.0,2.5118864315095823e-07,0.9772412858501501
4700.0,6.30957344480193e-07,0.9994153554138231
4700.0,1.584893192461114e-06,0.9999853060169998
4700.0,3.981071705534969e-06,0.9999996308985475
4700.0,1e-05,0.9999999907285874
4700.0,2.5118864315095822e-05,0.9999999997671126
4700.0,6.309573444801943e-05,0.9999999999941501
4700.0,0.00015848931924611142,0.999999999999853
4700.0,0.00039810717055349735,0.9999999999999963
4700.0,0.001,0.9999999999999998
4700.0,0.002511886431509582,1.0
4700.0,0.006309573444801942,1.0
4700.0,0.01584893192461114,1.0
4700.0,0.039810717055349776,1.0
4700.0,0.1,1.0
5000.0,1e-07,0.5800919683597772
5000.0,2.5118864315095823e-07,0.9821420487099765
5000.0,6.30957344480193e-07,0.9995434808289497
5000.0,1.584893192461114e-06,0.9999885276510941
5000.0,3.981071705534969e-06,0.9999997118244015
5000.0,1e-05,0.9999999927613542
5000.0,2.5118864315095822e-05,0.9999999998181734
5000.0,6.309573444801943e-05,0.9999999999954328
5000.0,0.00015848931924611142,0.9999999999998853
5000.0,0.00039810717055349735,0.9999999999999971
5000.0,0.001,1.0
5000.0,0.002511886431509582,1.0
5000.0,0.006309573444801942,1.0
5000.0,0.01584893192461114,1.0
5000.0,0.039810717055349776,1.0
5000.0,0.1,1.0
5300.0,1e-07,0.6355789937056867
5300.0,2.5118864315095823e-07,0.9858021163086161
5300.0,6.30957344480193e-07,0.9996383597330191
5300.0,1.584893192461114e-06,0.9999909128034546
5300.0,3.981071705534969e-06,0.9999997717379208
5300.0,1e-05,0.9999999942663145
5300.0,2.5118864315095822e-05,0.9999999998559763
5300.0,6.309573444801943e-05,0.9999999999963823
5300.0,0.00015848931924611142,0.9999999999999091
5300.0,0.00039810717055349735,0.9999999999999977
5300.0,0.001,1.0
5300.0,0.002511886431509582,1.0
5300.0,0.006309573444801942,1.0
5300.0,0.01584893192461114,1.0
5300.0,0.039810717055349776,1.0
5300.0,0.1,1.0
5600.0,1e-07,0.6849178883559561
5600.0,2.5118864315095823e-07,0.9885765953085293
5600.0,6.30957344480193e-07,0.9997098255306631
5600.0,1.584893192461114e-06,0.9999927090843819
5600.0,3.981071705534969e-06,0.9999998168591782
5600.0,1e-05,0.9999999953997097
5600.0,2.5118864315095822e-05,0.9999999998844459
5600.0,6.309573444801943e-05,0.9999999999970974
5600.0,0.00015848931924611142,0.9999999999999271
5600.0,0.00039810717055349735,0.9999999999999982
5600.0,0.001,1.0
5600.0,0.002511886431509582,1.0
5600.0,0.006309573444801942,1.0
5600.0,0.01584893192461114,1.0
5600.0,0.039810717055349776,1.0
5600.0,0.1,1.0
5900.0,1e-07,0.7281405120050048
5900.0,2.5118864315095823e-07,0.990708725568011
5900.0,6.30957344480193e-07,0.999764480428286
5900.0,1.584893192461114e-06,0.9999940826571915
5900.0,3.981071705534969e-06,0.9999998513622115
5900.0,1e-05,0.999999996266387
5900.0,2.5118864315095822e-05,0.9999999999062159
5900.0,6.309573444801943e-05,0.9999999999976442
5900.0,0.00015848931924611142,0.9999999999999408
5900.0,0.00039810717055349735,0.9999999999999986
5900.0,0.001,1.0
5900.0,0.002511886431509582,1.0
5900.0,0.006309573444801942,1.0
5900.0,0.01584893192461114,1.0
5900.0,0.039810717055349776,1.0
5900.0,0.1,1.0
6200.0,1e-07,0.7655938406555454
6200.0,2.5118864315095823e-07,0.9923679131835715
6200.0,6.30957344480193e-07,0.9998068535644308
6200.0,1.584893192461114e-06,0.9999951474671852
6200.0,3.981071705534969e-06,0.99999987810931
6200.0,1e-05,0.9999999969382439
6200.0,2.5118864315095822e-05,0.9999999999230922
6200.0,6.309573444801943e-05,0.9999999999980682
6200.0,0.00015848931924611142,0.9999999999999515
6200.0,0.00039810717055349735,0.9999999999999988
6200.0,0.001,1.0
6200.0,0.002511886431509582,1.0
6200.0,0.006309573444801942,1.0
6200.0,0.01584893192461114,1.0
6200.0,0.039810717055349776,1.0
6200.0,0.1,1.0
